timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,queue_depth_bytes,tx_link_util_0_255,flow_hash,datetime_iso,load_percent,time_sec,probes_per_sec,total_probes,overhead,fct_ms,flow_size_bytes,flow_type
0.1,10.0.105.12,10.0.104.9,65297,5003,TCP,0,16,6eda5082,2026-04-11T17:01:01.100000,10,0,4.924,0.0,2.5384e-05,21.175,11628661.0,large
0.104,10.0.106.13,10.0.104.9,53880,5001,TCP,0,20,0987186e,2026-04-11T17:01:01.104156,10,0,5.071,0.03,2.5253e-05,1.154,10637.0,small
0.119,10.0.104.9,10.0.102.5,62087,8080,TCP,0,32,7fc974b4,2026-04-11T17:01:01.118941,10,0,4.982,0.1,2.5837e-05,1.302,48107.0,small
0.128,10.0.105.12,10.0.104.9,65297,5003,TCP,0,26,6eda5082,2026-04-11T17:01:01.127786,10,0,4.936,0.14,2.523e-05,38.977,11628661.0,large
0.539,10.0.102.6,10.0.103.7,58379,5001,TCP,0,24,769670f9,2026-04-11T17:01:01.539433,10,0,4.992,2.2,2.5196e-05,1.225,10788.0,small
0.551,10.0.100.2,10.0.105.11,59025,5003,TCP,1,19,2ea25d00,2026-04-11T17:01:01.550559,10,0,4.999,2.25,2.6902e-05,1.141,5686.0,small
0.552,10.0.106.13,10.0.104.9,53880,5001,TCP,0,19,0987186e,2026-04-11T17:01:01.552050,10,0,5.207,2.26,2.5201e-05,1.46,10637.0,small
0.562,10.0.105.11,224.0.0.1,0,0,OTHER,0,1,33a435ee,2026-04-11T17:01:01.562402,10,0,4.954,2.31,2.5728e-05,,,
0.825,10.0.100.2,10.0.105.11,59025,5003,TCP,0,18,2ea25d00,2026-04-11T17:01:01.824694,10,0,5.283,3.7,2.537e-05,0.788,5686.0,small
1.032,10.0.106.13,10.0.104.9,53880,5001,TCP,0,20,0987186e,2026-04-11T17:01:02.032151,10,1,5.083,4.75,2.4747e-05,1.314,10637.0,small
1.313,10.0.104.9,10.0.103.8,49311,5003,TCP,0,16,ddb391f0,2026-04-11T17:01:02.313179,10,1,5.133,6.2,2.5522e-05,0.8,5496.0,small
1.395,10.0.100.1,10.0.107.16,59254,5001,TCP,0,25,c67f361b,2026-04-11T17:01:02.395263,10,1,4.664,6.58,2.5911e-05,1.081,13976.0,small
1.488,10.0.104.9,10.0.102.5,62087,8080,TCP,0,24,7fc974b4,2026-04-11T17:01:02.488144,10,1,4.966,7.04,2.4859e-05,0.898,48107.0,small
1.583,10.0.103.8,224.0.0.1,0,0,OTHER,0,2,f4c14cd2,2026-04-11T17:01:02.583335,10,1,5.011,7.52,2.4897e-05,,,
1.611,10.0.104.10,10.0.101.3,62707,5003,TCP,0,31,e69437a2,2026-04-11T17:01:02.611458,10,1,5.223,7.66,2.5988e-05,0.769,3220.0,small
1.824,10.0.106.13,10.0.104.9,53880,5001,TCP,0,22,0987186e,2026-04-11T17:01:02.824310,10,1,5.142,8.76,2.5315e-05,1.32,10637.0,small
1.881,10.0.100.2,224.0.0.1,0,0,OTHER,0,3,727e1632,2026-04-11T17:01:02.881212,10,1,4.851,9.03,2.5515e-05,,,
1.946,10.0.100.2,10.0.105.11,59025,5003,TCP,0,33,2ea25d00,2026-04-11T17:01:02.945854,10,1,5.001,9.36,2.6313e-05,0.713,5686.0,small
2.04,10.0.102.6,224.0.0.1,0,0,OTHER,0,0,5282c541,2026-04-11T17:01:03.039765,10,2,5.174,9.84,2.6239e-05,,,
2.751,10.0.104.9,10.0.103.8,49311,5003,TCP,0,13,ddb391f0,2026-04-11T17:01:03.751038,10,2,4.787,13.25,2.4586e-05,0.865,5496.0,small
2.77,10.0.100.1,10.0.107.16,59254,5001,TCP,0,13,c67f361b,2026-04-11T17:01:03.769827,10,2,5.075,13.34,2.5536e-05,0.988,13976.0,small
3.101,10.0.104.9,10.0.103.8,49311,5003,TCP,0,14,ddb391f0,2026-04-11T17:01:04.101314,10,3,5.355,15.12,2.4043e-05,0.899,5496.0,small
3.489,10.0.103.7,224.0.0.1,0,0,OTHER,0,2,e018ff0c,2026-04-11T17:01:04.488544,10,3,4.992,17.05,2.5337e-05,,,
3.524,10.0.104.10,224.0.0.1,0,0,OTHER,0,2,06efb7ce,2026-04-11T17:01:04.523814,10,3,4.98,17.23,2.6608e-05,,,
