timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,queue_depth_bytes,tx_link_util_0_255,flow_hash,datetime_iso,load_percent,time_sec,probes_per_sec,total_probes,overhead,fct_ms,flow_size_bytes,flow_type
0.05,10.0.102.5,10.0.100.2,61605,8443,TCP,1,31,8931d7f5,2026-04-11T17:01:01.050,10,0,1.87,0.53,0.000009765,1.624,5093,small
0.172,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,059ac9ec,2026-04-11T17:01:01.172,10,0,1.905,1.02,0.000009902,,,
0.601,10.0.104.9,10.0.105.12,51840,8443,TCP,1,30,6c28984f,2026-04-11T17:01:01.601,10,0,1.894,1.5,0.000009349,1.644,6648,small
1.062,10.0.107.16,10.0.103.8,62858,5001,TCP,0,22,15607c30,2026-04-11T17:01:02.062,10,1,1.778,1.94,0.00001035,4.006,18360164,large
1.247,10.0.105.11,10.0.101.4,61813,5003,TCP,3,24,55a90c9c,2026-04-11T17:01:02.247,10,1,1.861,2.44,0.000009776,1.248,44923,small
1.31,10.0.103.7,10.0.100.2,61614,5003,TCP,6,30,c31d1184,2026-04-11T17:01:02.310,10,1,1.864,2.9,0.000009575,1.182,6632,small
1.74,10.0.105.12,224.0.0.1,0,0,OTHER,1,1,059ac9ec,2026-04-11T17:01:02.740,10,1,1.866,3.42,0.000010288,,,
1.964,10.0.107.16,10.0.104.10,60577,8080,TCP,1,16,5cf9c683,2026-04-11T17:01:02.964,10,1,1.93,3.91,0.000009528,1.591,15500,small
2.172,10.0.104.9,10.0.107.16,49641,5001,TCP,1,22,246e0a76,2026-04-11T17:01:03.172,10,2,1.925,4.43,0.00000952,3.491,161614,medium
2.615,10.0.106.14,10.0.101.4,53707,5002,TCP,5,23,bfa7b36b,2026-04-11T17:01:03.615,10,2,1.978,5,0.000010286,2.312,744570,medium
2.703,10.0.103.7,10.0.104.9,56356,5001,TCP,3,16,8dbf5e76,2026-04-11T17:01:03.703,10,2,1.949,5.51,0.000009757,2.477,887164,medium
3.235,10.0.100.1,10.0.107.15,63252,5001,TCP,2,31,63e596dd,2026-04-11T17:01:04.235,10,3,1.885,6.02,0.000009932,1.417,45798,small
3.627,10.0.103.7,10.0.103.8,52556,8443,TCP,0,19,098bab63,2026-04-11T17:01:04.627,10,3,1.901,6.55,0.000010292,1.064,7111,small
3.841,10.0.106.14,10.0.104.10,51262,5002,TCP,0,34,57b08cae,2026-04-11T17:01:04.841,10,3,1.993,7.1,0.000009632,1.263,4625,small
3.873,10.0.103.7,10.0.102.6,53818,5003,TCP,0,28,cb3dff05,2026-04-11T17:01:04.873,10,3,1.873,7.59,0.000009242,6.195,17352150,large
3.884,10.0.101.3,224.0.0.1,0,0,OTHER,2,1,e64c1c74,2026-04-11T17:01:04.884,10,3,1.884,8.09,0.000010294,,,
4.621,10.0.107.15,10.0.104.10,62894,5001,TCP,1,29,5db08405,2026-04-11T17:01:05.621,10,4,1.992,8.63,0.000010239,3.159,485797,medium
4.869,10.0.101.4,224.0.0.1,0,0,OTHER,1,1,38dc0d27,2026-04-11T17:01:05.869,10,4,1.857,9.12,0.000009593,,,
4.896,10.0.102.5,10.0.100.2,61037,5003,TCP,2,24,ad8a4a90,2026-04-11T17:01:05.896,10,4,1.87,9.63,0.000009689,1.742,13338,small
5.241,10.0.101.3,10.0.107.16,51673,8443,TCP,1,19,42b396ec,2026-04-11T17:01:06.241,10,5,1.923,10.13,0.000009819,1.856,20627,small
5.631,10.0.101.4,224.0.0.1,0,0,OTHER,0,2,38dc0d27,2026-04-11T17:01:06.631,10,5,1.876,10.62,0.000010302,,,
5.767,10.0.106.13,10.0.105.12,61457,8080,TCP,1,30,363040da,2026-04-11T17:01:06.767,10,5,1.902,11.13,0.000009278,6.957,9744844,large
5.956,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,7b39a362,2026-04-11T17:01:06.956,10,5,1.891,11.61,0.000010339,,,
