timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,queue_depth_bytes,tx_link_util_0_255,flow_hash,datetime_iso,load_percent,time_sec,probes_per_sec,total_probes,overhead,fct_ms,flow_size_bytes,flow_type,flow_cat
4.133,10.0.100.2,10.0.102.13,50595,5003,TCP,0,24,db0b804a,2026-04-11T17:01:05.233448,10,4,5.226,20.29,8.0265e-06,2.63125,120180.0,small,medium
4.54,10.0.102.5,10.0.102.9,58530,5003,TCP,1,17,fa2bbd48,2026-04-11T17:01:05.639679,10,4,5.226,20.29,8.0265e-06,1.9279000000000002,1138218.0,medium,large
6.637,10.0.102.12,10.0.102.9,29650,5003,TCP,0,24,dc40a0f0,2026-04-11T17:01:07.737355,10,6,4.922,30.18,7.5605e-06,0.41250000000000003,134674.0,small,medium
7.349,10.0.102.6,10.0.104.6,52365,80,TCP,2,19,bf2db621,2026-04-11T17:01:08.448743,10,7,5.038,35.22,7.7376e-06,1.46375,134380.0,small,medium
8.068,10.0.104.9,10.0.102.13,5386,8080,TCP,1,13,49dc508b,2026-04-11T17:01:09.168390,10,8,4.93,40.15,7.5717e-06,0.6925000000000001,132460.0,small,medium
8.144,10.0.102.2,10.0.100.13,25422,443,TCP,0,20,c5fe445e,2026-04-11T17:01:09.244086,10,8,4.93,40.15,7.5717e-06,32.4129,21182267.0,large,large
8.489,10.0.102.9,10.0.100.5,8198,8080,TCP,0,19,db9bd424,2026-04-11T17:01:09.589013,10,8,4.93,40.15,7.5717e-06,0.5225,123687.0,small,medium
8.503,10.0.102.6,10.0.104.2,44037,5001,TCP,0,30,d8d1b4b5,2026-04-11T17:01:09.603461,10,8,4.93,40.15,7.5717e-06,1.34205,50653.0,small,small
9.277,10.0.100.5,10.0.102.13,28347,8080,TCP,0,14,276d464e,2026-04-11T17:01:10.376703,10,9,4.858,45.01,7.4616e-06,1.4892499999999997,5833.0,small,small
9.362,10.0.102.13,10.0.102.12,40711,8443,OTHER,0,31,25ef0471,2026-04-11T17:01:10.462045,10,9,4.858,45.01,7.4616e-06,,,,medium
13.104,10.0.104.9,10.0.102.5,25522,8080,OTHER,0,16,e3dcf75b,2026-04-11T17:01:14.204489,10,13,5.194,65.17,7.9783e-06,,,,medium
13.851,10.0.104.6,10.0.102.6,63022,80,TCP,0,27,8b804f89,2026-04-11T17:01:14.950848,10,13,5.194,65.17,7.9783e-06,0.8544499999999999,41200.0,small,small
14.85,10.0.104.5,10.0.104.2,62179,443,TCP,0,23,6437b1ec,2026-04-11T17:01:15.950356,10,14,4.957,70.13,7.6146e-06,0.7095499999999999,81571.0,small,small
16.302,10.0.104.5,10.0.100.12,14110,8080,TCP,0,24,db8a243f,2026-04-11T17:01:17.402165,10,16,5.129,79.9,7.8787e-06,0.7969499999999998,32339.0,small,small
16.388,10.0.102.9,10.0.102.6,5322,443,TCP,0,32,89c26e0e,2026-04-11T17:01:17.488066,10,16,5.129,79.9,7.8787e-06,0.52,128973.0,small,medium
19.27,10.0.102.5,10.0.102.6,34160,5003,OTHER,0,17,b5426a5f,2026-04-11T17:01:20.369835,10,19,5.145,95.25,7.9033e-06,,,,medium
19.605,10.0.102.9,10.0.102.6,47565,5003,TCP,0,26,d332cf9b,2026-04-11T17:01:20.705319,10,19,5.145,95.25,7.9033e-06,0.5117499999999999,68121.0,small,small
19.759,10.0.102.5,10.0.100.2,58672,80,TCP,0,33,e7fb5ef3,2026-04-11T17:01:20.859405,10,19,5.145,95.25,7.9033e-06,0.7925,130717.0,small,medium
20.321,10.0.100.6,10.0.102.6,24666,80,TCP,0,14,bf4b6db3,2026-04-11T17:01:21.421157,10,20,5.158,100.4,7.9226e-06,2.2975000000000003,731056.0,medium,medium
22.731,10.0.104.2,10.0.104.5,14217,80,TCP,0,29,76cb998b,2026-04-11T17:01:23.830684,10,22,5.023,110.39,7.7159e-06,1.8009,33851.0,small,small
23.959,10.0.104.9,10.0.102.5,12322,5001,TCP,0,18,240e01c7,2026-04-11T17:01:25.058748,10,23,4.842,115.24,7.4367e-06,3.3987499999999997,800930.0,medium,medium
24.355,10.0.102.9,10.0.102.6,40866,5001,TCP,0,32,a0f3f0ec,2026-04-11T17:01:25.455233,10,24,5.018,120.25,7.7071e-06,1.05625,118344.0,small,medium
24.931,10.0.100.12,10.0.100.5,47390,80,TCP,0,18,835a1d28,2026-04-11T17:01:26.030743,10,24,5.018,120.25,7.7071e-06,1.22,142982.0,small,medium
26.399,10.0.104.5,10.0.100.12,19125,5001,OTHER,0,29,dfd7a2c1,2026-04-11T17:01:27.499194,10,26,5.005,130.42,7.6872e-06,,,,medium
27.13,10.0.100.2,10.0.102.12,14715,5001,TCP,0,19,a27ea884,2026-04-11T17:01:28.229707,10,27,4.951,135.37,7.6049e-06,2.3474999999999997,167207.0,medium,medium
30.573,10.0.100.5,10.0.102.6,39241,5003,TCP,0,26,72bfe7b2,2026-04-11T17:01:31.673253,10,30,5.062,150.86,7.7755e-06,0.7825,146664.0,small,medium
32.014,10.0.104.9,10.0.102.13,7700,8443,TCP,1,24,df748010,2026-04-11T17:01:33.114356,10,32,5.021,160.93,7.712e-06,0.7647499999999999,96978.0,small,small
35.08,10.0.100.9,10.0.100.12,16527,5003,TCP,0,15,da06f154,2026-04-11T17:01:36.179888,10,35,4.802,175.82,7.3755e-06,2.587,1280263.0,medium,large
