timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,flow_id,flow_start_time_ns,flow_current_time_ns,fct_ns,fct_us,fct_ms,queue_depth_bytes,datetime_iso
0.19,10.0.106.14,224.0.0.1,0,0,OTHER,10.0.106.14:0->224.0.0.1:0/OTHER,194414172,259679680,65265508,65265.508,65.265508,0,2026-04-11T15:25:36.983562
0.191,10.0.106.14,224.0.0.1,0,0,OTHER,10.0.106.14:0->224.0.0.1:0/OTHER,194414172,259681702,65267530,65267.53,65.26753,0,2026-04-11T15:25:36.985010
0.473,10.0.103.7,224.0.0.1,0,0,OTHER,10.0.103.7:0->224.0.0.1:0/OTHER,73307008,264070248,190763240,190763.24,190.76324,0,2026-04-11T15:25:37.266763
0.521,10.0.105.12,224.0.0.1,0,0,OTHER,10.0.105.12:0->224.0.0.1:0/OTHER,194734310,260000430,65266120,65266.12,65.26612,0,2026-04-11T15:25:37.315084
0.556,10.0.105.12,224.0.0.1,0,0,OTHER,10.0.105.12:0->224.0.0.1:0/OTHER,194734310,260000491,65266181,65266.181,65.266181,0,2026-04-11T15:25:37.352134
0.689,10.0.103.8,224.0.0.1,0,0,OTHER,10.0.103.8:0->224.0.0.1:0/OTHER,188983660,264284137,75300477,75300.477,75.300477,0,2026-04-11T15:25:37.482730
0.845,10.0.107.16,224.0.0.1,0,0,OTHER,10.0.107.16:0->224.0.0.1:0/OTHER,190063399,260348107,70284708,70284.708,70.284708,0,2026-04-11T15:25:37.642409
0.861,10.0.107.16,224.0.0.1,0,0,OTHER,10.0.107.16:0->224.0.0.1:0/OTHER,190063399,260355463,70292064,70292.064,70.292064,0,2026-04-11T15:25:37.654984
0.972,10.0.101.3,224.0.0.1,0,0,OTHER,10.0.101.3:0->224.0.0.1:0/OTHER,190154181,260453392,70299211,70299.211,70.299211,0,2026-04-11T15:25:37.765841
1.004,10.0.101.3,224.0.0.1,0,0,OTHER,10.0.101.3:0->224.0.0.1:0/OTHER,190154181,260463645,70309464,70309.464,70.309464,0,2026-04-11T15:25:37.801924
1.298,10.0.104.9,224.0.0.1,0,0,OTHER,10.0.104.9:0->224.0.0.1:0/OTHER,195510474,260781533,65271059,65271.059,65.271059,0,2026-04-11T15:25:38.091596
