timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,queue_depth_bytes,tx_link_util_0_255,flow_hash,datetime_iso
0.11,10.0.106.14,224.0.0.1,0,0,OTHER,1,0,dc20a481,2026-04-11T17:01:01.128231
0.112,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:01.131006
0.57,10.0.103.8,224.0.0.1,0,0,OTHER,0,0,bf10ffa4,2026-04-11T17:01:01.586746
0.984,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:02.000976
1.01,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:02.026279
1.252,10.0.102.5,224.0.0.1,0,0,OTHER,0,0,ae001094,2026-04-11T17:01:02.268475
1.866,10.0.103.7,224.0.0.1,0,0,OTHER,0,0,048c1c86,2026-04-11T17:01:02.882587
1.951,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:02.967516
1.963,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:02.982512
2.435,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:03.451693
2.461,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:03.477556
2.679,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:03.695308
2.686,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:03.704968
2.832,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:03.854918
2.872,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:03.891286
2.891,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:03.910355
2.908,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:03.927419
3.006,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:04.025013
3.037,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:04.055189
3.141,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:04.157119
3.162,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:04.180946
3.372,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:04.390292
3.378,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:04.398203
3.634,10.0.102.6,224.0.0.1,0,0,OTHER,0,0,507baf03,2026-04-11T17:01:04.650353
4.012,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:05.028130
4.015,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:05.032507
4.038,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:05.056051
4.057,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:05.073675
4.795,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:05.811673
4.801,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:05.818382
